V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q4,Q21,Q5,Q6,Q6_TEXT,Q20,Q20_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q2_22,Q2_23,Q2_24,Q2_25,Q2_26,Q2_27,Q2_28,Q2_29,Q2_30,Q2_31,Q2_32,Q2_33,Q2_34,Q2_35,Q2_36,Q2_37,Q2_38,Q2_39,Q2_40,Q11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q13,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q15,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q18,Q22,Q19
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,"Thanks for taking our TOTALLY ANONYMOUS (we promise) sin survey. First, tell us just a few things ab...",What SF neighborhood do you live in or commit most of your sins in?,How old are you?,What is your sexual orientation?,What is your sexual orientation?-TEXT,How would you characterize your religion?,How would you characterize your religion?-TEXT,"Which sins have you committed in the last year (choose all that apply)-Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Which sins have you committed in the last year (choose all that apply)-Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Which sins have you committed in the last year (choose all that apply)-Lust (deviant sex, excessive sex )","Which sins have you committed in the last year (choose all that apply)-Gluttony (Expensive food, overindulgence)","Which sins have you committed in the last year (choose all that apply)-Envy (schaudenfreude, wanting what someone has)",Which sins have you committed in the last year (choose all that apply)-Greed  (Money),"Which sins have you committed in the last year (choose all that apply)-Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",What wrathful sins have you committed?-Hating a peer,What wrathful sins have you committed?-picking fights,What wrathful sins have you committed?-Physical fighting,What wrathful sins have you committed?-Internet harassment,What wrathful sins have you committed?-Bullying,What wrathful sins have you committed?-Vandalism,What wrathful sins have you committed?-Making voodoo dolls of people I hate,What wrathful sins have you committed?-Stealing the blankets,What wrathful sins have you committed?-Talking shit,What wrathful sins have you committed?-Calling names,What wrathful sins have you committed?-Mocking,What wrathful sins have you committed?-Cursing out bad drivers,What wrathful sins have you committed?-Giving the finger,What wrathful sins have you committed?-Intentionally stepping on people's feet,What wrathful sins have you committed?-Shaming stupid people ,What wrathful sins have you committed?-Cutting off slow drivers,What wrathful sins have you committed?-Take people's things for fun,What wrathful sins have you committed?-Break things for fun,What wrathful sins have you committed?-Weaponizing farts,What wrathful sins have you committed?-Scaring weaker people,What wrathful sins have you committed?-Using my sharp wit to silence the ignorant,What wrathful sins have you committed?-Holding grudges,What wrathful sins have you committed?-Killing,What wrathful sins have you committed?-Strangling,What wrathful sins have you committed?-Talking smack about exes,What wrathful sins have you committed?-Gossiping ,What wrathful sins have you committed?-Talking back,What wrathful sins have you committed?-Bitterness,What wrathful sins have you committed?-Eating Blood,What wrathful sins have you committed?-Sexually corrupting an innocent,What wrathful sins have you committed?-Not giving to the poor,What wrathful sins have you committed?-Hindering other people,What wrathful sins have you committed?-Thinking ill of others,What wrathful sins have you committed?-Teaching hate to your children,What wrathful sins have you committed?-Condemning,What wrathful sins have you committed?-Violence,What wrathful sins have you committed?-Contempt,What wrathful sins have you committed?-Corrupt conversation,What wrathful sins have you committed?-speaking evil about god,What wrathful sins have you committed?-speaking about other people's evil,Enter any other Wrathful sins here:,What slothful sins have you committed?-Failing to get a job,What slothful sins have you committed?-Not working hard enough,What slothful sins have you committed?-Not sticking to my commitments,What slothful sins have you committed?-Smoking too much pot,What slothful sins have you committed?-Farting in bed,What slothful sins have you committed?-Watching breaking bad,What slothful sins have you committed?-Late for class,What slothful sins have you committed?-TV binge,What slothful sins have you committed?-xbox,What slothful sins have you committed?-Watching an entire season of TV in one day,What slothful sins have you committed?-Sleeping until noon,What slothful sins have you committed?-Never reading the bible,What slothful sins have you committed?-Not attending church,What slothful sins have you committed?-Breaking promises,What slothful sins have you committed?-Spending the whole day in bed reading blogs,What slothful sins have you committed?-Blasphemy,What slothful sins have you committed?-Not giving charity,What slothful sins have you committed?-Poor parenting,What slothful sins have you committed?-Not going to church,What slothful sins have you committed?-Complaining about life,Enter any other Slothful sins here:,What lustful sins have you committed?-Premarital sex,What lustful sins have you committed?-Fetish sex,What lustful sins have you committed?-Anal sex,What lustful sins have you committed?- Oral sex,What lustful sins have you committed?- Threesomes,What lustful sins have you committed?-Exhibitionism,What lustful sins have you committed?-Voyeurism,What lustful sins have you committed?-Public sex,What lustful sins have you committed?-Cheating ,What lustful sins have you committed?-Masturbation,What lustful sins have you committed?-Porn use,What lustful sins have you committed?-Wanting someone else's partner,What lustful sins have you committed?-Sexually corrupting an innocent,What lustful sins have you committed?-Dirty talk,What lustful sins have you committed?-Crossdressing,What lustful sins have you committed?-Dressing indecently,What lustful sins have you committed?-One night stands to feel loved,What lustful sins have you committed?-Orgies,What lustful sins have you committed?-Prostituting myself,What lustful sins have you committed?-Sex to raise one's self esteem,What lustful sins have you committed?-Flirting out of boredom,What lustful sins have you committed?-Pee play,What lustful sins have you committed?-Shit sex,What lustful sins have you committed?-Patronizing a prostitute,What lustful sins have you committed?-Running around naked at Burning Man,Enter any other lustful sins here:,Which gluttonous sins have you committed?-Overeating,Which gluttonous sins have you committed?-Stoned eating,Which gluttonous sins have you committed?-Sneaking food,Which gluttonous sins have you committed?-Expensive food,Which gluttonous sins have you committed?-Guilty food,Which gluttonous sins have you committed?-Breaking diet,Which gluttonous sins have you committed?-Purging,Which gluttonous sins have you committed?-Eating a whole pizza in one sitting,Which gluttonous sins have you committed?-Eating even when not hungry,Which gluttonous sins have you committed?-Foody-ism,Which gluttonous sins have you committed?-Food porn,Which gluttonous sins have you committed?-Cinnabon,Which gluttonous sins have you committed?-Fast food ,Which gluttonous sins have you committed?-Sweet tooth,Which gluttonous sins have you committed?-Excessive drinking,Which gluttonous sins have you committed?-Obesity,Which gluttonous sins have you committed?-Stealing all the cookies,Which gluttonous sins have you committed?-Eating past fullness at every meal,Which gluttonous sins have you committed?-Constant snacking,Which gluttonous sins have you committed?-Comfort food,Enter any other gluttonous sins here:,Which envious sins have you committed?-Wanting someone‰Ûªs partner,Which envious sins have you committed?-Wanting someone‰Ûªs possessions,Which envious sins have you committed?-Wanting someone to fail,Which envious sins have you committed?-Wanting someone to suffer,Which envious sins have you committed?-Wanting someone‰Ûªs looks,Which envious sins have you committed?-Schaudenfreude,Which envious sins have you committed?-Partner jealousy,Which envious sins have you committed?-Wanting more power,Which envious sins have you committed?-Ruining things for others intentionally,Which envious sins have you committed?-Ungratefulness,Which envious sins have you committed?-burglary,Which envious sins have you committed?-Robbing,Which envious sins have you committed?-Shoplifting,Which envious sins have you committed?-Judging god's servants,Which envious sins have you committed?-Judging other people,Which envious sins have you committed?-Covetous conversation,Enter any other envious sins here:,Which greedy sins have you committed?-Obsession with money,Which greedy sins have you committed?-Obsession with luxury goods,Which greedy sins have you committed?-Business school,Which greedy sins have you committed?-Obsession with cars,Which greedy sins have you committed?-Obsession with expensive clothing,Which greedy sins have you committed?-Leaving Academia for the industry,Which greedy sins have you committed?-Shoplifting,Which greedy sins have you committed?-Stealing,Which greedy sins have you committed?-In app advertising,Which greedy sins have you committed?-Not tipping,Which greedy sins have you committed?-Patent trolling,Which greedy sins have you committed?-Plagiarism,Which greedy sins have you committed?-Working for Goldman Sachs,Which greedy sins have you committed?-Online marketing,Which greedy sins have you committed?-Accepting bribes,Which greedy sins have you committed?-Wearing Jewelry,Confess any other greedy sins here:,Which prideful sins have you committed?-Vanity,Which prideful sins have you committed?-Arrogance,Which prideful sins have you committed?-Instagram,Which prideful sins have you committed?-Brand names,Which prideful sins have you committed?-Excessive gym attendance,Which prideful sins have you committed?-Condescention,Which prideful sins have you committed?-Racism,Which prideful sins have you committed?-iPhone 5c,Which prideful sins have you committed?-Homophobia,Which prideful sins have you committed?-Misogyny,Which prideful sins have you committed?-Selfies,Which prideful sins have you committed?-Making fun of others,Which prideful sins have you committed?-Judgment ,Which prideful sins have you committed?-Tattoos,Which prideful sins have you committed?-Eating kale in public,Which prideful sins have you committed?-Bragging about accomplishments,Which prideful sins have you committed?-Feeling superior to others,Which prideful sins have you committed?-Atheism,Which prideful sins have you committed?-Inability to come clean,Which prideful sins have you committed?-Refusal to date others of a different race,Which prideful sins have you committed?-Sports cars,Which prideful sins have you committed?-Attending Ivy League Schools,Which prideful sins have you committed?-Plastic surgery,Which prideful sins have you committed?-Makeup usage,Which prideful sins have you committed?-Graduate school,Which prideful sins have you committed?-Boasting,Which prideful sins have you committed?-Lack of humility,Which prideful sins have you committed?-Conceit,Confess any other prideful sins here:,What's the most sinful thing you've ever done?,Thank you for taking our survey for the Mechanical Nun project! Check outåÊindiegogo.com/projects/the...
R_0cZyhFdCmNrunI1,Default Response Set,Anonymous,,,67.164.98.170,0,10/28/13 9:11,10/28/13 9:12,1,,,,,,,,,,,"Gluttony (Expensive food, overindulgence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cSHUXFPyUVdYZ1z,Default Response Set,Anonymous,,,67.164.98.170,0,10/28/13 9:12,10/28/13 9:15,1,,,,,,,,,,,,"Envy (schaudenfreude, wanting what someone has)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_e4gPKpqDOQ7iB93,Default Response Set,Anonymous,,,24.5.85.80,0,10/28/13 9:50,10/28/13 9:51,1,Male,,23-28,Straight,,,,,,"Lust (deviant sex, excessive sex )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4NkgqFaJYlX4aY5,Default Response Set,Anonymous,,,67.164.98.170,0,10/28/13 9:15,10/28/13 14:12,1,Male,,35-40,Straight,,,,,,,,,Greed  (Money),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faith healing,,,,,,,,,,,,,,,,,,,,,worng doing,,,,,,,,,,,,,,,,,,,,,,,,,,pinch thrifting,,,,,,,,,,,,,,,,,,,,,food eating ,,,,,,,,,,,,,,,,,lust craving ,,,,Obsession with cars,,,,,In app advertising,,,Plagiarism,,,,,stole monw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,like my phone,,thi sis a comment
R_6LRwjCBcTE7G3Ot,Default Response Set,Anonymous,,,67.164.98.170,0,10/28/13 14:12,10/28/13 14:13,1,Male,Bayview/Hunter's Point,18-22,Questioning ,,Mormon,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)",,,,,Greed  (Money),,,,,Internet harassment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinking ill of others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0caeLMpy5SrGlVz,Default Response Set,Anonymous,,,67.164.98.170,0,10/28/13 14:13,10/28/13 14:14,1,,South Beach,35-40,Trans ,,Atheist,,,,,,,,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refdw,,,,,,,,,,,,,,,,,,,,,lazy assness,,,,,,,,,,,,,,,,,,,,,,,,,,twinkie,,,,,,,,,,,,,,,,,,,,,twinkie,,,,,,,,,,,,,,,,,car,,,,,,,,,,,,,,,,,flute,,,,,,,Racism,,,,,,Judgment ,,,,,,,,,,,Makeup usage,,,,Conceit,gluch,,derlicious
R_9MhVEEuPiLTnP6d,Default Response Set,Anonymous,,,70.36.146.149,0,10/28/13 14:38,10/28/13 14:41,1,Male,Mission Bay,29-34,Straight,,Other,Ignostic,,"Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not working hard enough,,,,,,,,,Sleeping until noon,Never reading the bible,Not attending church,,Spending the whole day in bed reading blogs,Blasphemy,,,Not going to church,Complaining about life,,Premarital sex,,, Oral sex,,,,,,,Porn use,Wanting someone else's partner,,,,,One night stands to feel loved,,,,Flirting out of boredom,,,,,,,,,Expensive food,,,,,,Foody-ism,Food porn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7al5JDFNtX0I709,Default Response Set,Anonymous,,,12.226.152.2,0,10/28/13 14:39,10/28/13 14:42,1,Male,The Mission,29-34,Straight,,Jewish,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)",,"Lust (deviant sex, excessive sex )",,,Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,Internet harassment,,,,,,,,,,,,,,,,,,,,,,Gossiping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premarital sex,,, Oral sex,,,,,Cheating ,Masturbation,Porn use,Wanting someone else's partner,,Dirty talk,,,,,,,Flirting out of boredom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsession with money,,,,,,,,,,,,,,,,,,,,Brand names,,,,,,,,,,,Eating kale in public,,,,,,,,,,,,,,,,
R_3raNhKq3RX0QM2F,Default Response Set,Anonymous,,,12.236.90.2,0,10/28/13 14:43,10/28/13 14:47,1,Male,North Beach,29-34,Bisexual ,,Catholic,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,picking fights,,Internet harassment,Bullying,,,,Talking shit,Calling names,Mocking,Cursing out bad drivers,Giving the finger,,Shaming stupid people ,,,,,Scaring weaker people,Using my sharp wit to silence the ignorant,,,,Talking smack about exes,Gossiping ,Talking back,Bitterness,,,Not giving to the poor,Hindering other people,Thinking ill of others,,Condemning,,Contempt,Corrupt conversation,speaking evil about god,speaking about other people's evil,,,Not working hard enough,Not sticking to my commitments,,Farting in bed,,,,,,Sleeping until noon,Never reading the bible,Not attending church,Breaking promises,Spending the whole day in bed reading blogs,Blasphemy,Not giving charity,,Not going to church,Complaining about life,,Premarital sex,,Anal sex, Oral sex,,,Voyeurism,,Cheating ,Masturbation,Porn use,Wanting someone else's partner,,Dirty talk,,,One night stands to feel loved,,,Sex to raise one's self esteem,,,,Patronizing a prostitute,,,Overeating,,Sneaking food,Expensive food,Guilty food,Breaking diet,,Eating a whole pizza in one sitting,Eating even when not hungry,Foody-ism,Food porn,,Fast food ,,Excessive drinking,Obesity,,Eating past fullness at every meal,Constant snacking,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,Wanting someone to fail,Wanting someone to suffer,Wanting someone‰Ûªs looks,Schaudenfreude,Partner jealousy,Wanting more power,Ruining things for others intentionally,Ungratefulness,,,,Judging god's servants,Judging other people,Covetous conversation,,Obsession with money,Obsession with luxury goods,,Obsession with cars,Obsession with expensive clothing,,,,,Not tipping,Patent trolling,,,,,Wearing Jewelry,,Vanity,Arrogance,,Brand names,,Condescention,Racism,,,Misogyny,,Making fun of others,Judgment ,,,Bragging about accomplishments,Feeling superior to others,,Inability to come clean,Refusal to date others of a different race,,,,,Graduate school,Boasting,Lack of humility,Conceit,,,
