sex,neighbourhood,age,sin,sub_sin
Male,Bayview/Hunter's Point,18-22,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)",Thinking ill of others
Male,,23-28,Lust,
Male,Bayview/Hunter's Point,18-22,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)",Internet harassment
Male,Mission Bay,29-34,Sloth,never reading the bible
Male,Mission Bay,29-34,Sloth,Not attending church
Male,Mission Bay,29-34,Sloth,spending the day in bed
Male,Mission Bay,29-34,Sloth,Blasphemy
Male,Mission Bay,29-34,Sloth,complaining about life
Male,Mission Bay,29-34,Lust,Premarital sex
Male,Mission Bay,29-34,Lust,oral sex
Male,Mission Bay,29-34,Lust,porn use
Male,Mission Bay,29-34,Lust,wanting some elses partner
Male,Mission Bay,29-34,Lust,one night stands to feel loved
Male,Mission Bay,29-34,Lust,flirting out of boredom
Male,Mission Bay,29-34,Gluttony,expensive food
Male,Mission Bay,29-34,Gluttony,foody-ism
Male,Mission Bay,29-34,Gluttony,food porn
Male ,Mission ,29-34,Wrath,Internet harassment
Male ,Mission ,29-34,Wrath,gossiping
Male ,Mission ,29-34,Lust,Premarital sex
Male ,Mission ,29-34,Lust,oral sex
Male ,Mission ,29-34,Lust,cheating
Male ,Mission ,29-34,Lust,masturbation
Male ,Mission ,29-34,Lust,porn use
Male ,Mission ,29-34,Lust,wanting some elses partner
Male ,Mission ,29-34,Lust,Dirty talk
Male ,Mission ,29-34,Lust,flirting out of boredom
Male ,Mission ,29-34,Greed,obsession with money
Male ,Mission ,29-34,Pride,brand names
Male ,Mission ,29-34,Pride,eating kale in public
